age,gpa,faminc,mayuse,attuse,attusers,streneff,athabil,wghtsat,sterknow,testknow,suppknow,peerinfo,teaminfo,coainfo,coachtol,bodyimg,esteem,impuls,rmay,rsupp,rtest
15,3,5,1,7,6.67,5.33,999,2,14,1,999,4.33,999,7,1,999,999,999,0,1,0
14,2.5,7,4,3,4,7,4,999,0,0,0,5,4,5.33,2,3,4.75,5.5,0,0,0
14,2,7,1,7,3,5.17,7,3,16,1,2,4,7,5,5,5,6.25,1,0,0,0
15,2.5,999,1.6,5.67,5.67,5.5,6,3,15,1,3,7,7,7,1,2.67,5.5,1.67,0,0,0
15,2.5,999,1,5,4,7,7,5,15,1,4,7,7,7,1,5,7,2,0,0,0
15,2.5,999,1,5.33,4.67,6.17,6.75,2,16,2,4,1,6,4.33,1,2.67,5.5,2,0,0,0
16,3.5,999,2.2,7,5,5.33,6.25,2,11,0,3,6,6.33,6,3,4.67,7,5,0,0,0
17,2,2,4,4,4,4,4,5,0,1,999,4,4,4,4,1,4,4,0,1,0
14,3,999,2.8,4.33,7,6.83,6.75,2,16,1,3,6,7,6.33,1,4.33,6.75,2.33,0,0,0
16,3,7,1,6.67,5.33,6.33,5.75,3,14,1,3,6,5.67,6,1.33,4,6.5,2.5,0,0,0
16,3.5,7,1,7,6.67,7,6.5,4,14,1,4,7,7,6,1,4.67,7,1.33,0,0,0
15,3.5,4,2,6.67,6,7,6.5,2,10,1,1,5.67,7,6,1.33,3,7,3.5,0,0,0
15,3,999,1,7,4.33,7,7,2,10,0,3,7,7,7,1,4.67,7,5.33,0,0,0
16,3.5,6,1,6.67,6,6.83,5.25,3,16,1,4,6,7,7,1,4.67,6.25,3.17,0,0,0
18,2,6,1,3,3,7,7,2,15,0,3,7,6,7,1,4,6.75,2.67,0,0,0
17,2.5,3,1,5,5.33,7,6.75,1,14,1,3,4,7,5,1,2.33,6.5,2,0,0,0
15,4,999,1,5,6.67,6.67,6.25,3,13,1,3,7,7,7,1,3.67,7,1,0,0,0
18,2.5,999,1,5,5,6.5,6.5,2,5,0,0,1,6.67,5,4,5,5.5,4,0,0,0
